titles,summaries,terms
Cooperative Policy Learning with Pre-trained Heterogeneous Observation Representations,"Multi-agent reinforcement learning (MARL) has been increasingly explored to
learn the cooperative policy towards maximizing a certain global reward. Many
existing studies take advantage of graph neural networks (GNN) in MARL to
propagate critical collaborative information over the interaction graph, built
upon inter-connected agents. Nevertheless, the vanilla GNN approach yields
substantial defects in dealing with complex real-world scenarios since the
generic message passing mechanism is ineffective between heterogeneous vertices
and, moreover, simple message aggregation functions are incapable of accurately
modeling the combinational interactions from multiple neighbors. While adopting
complex GNN models with more informative message passing and aggregation
mechanisms can obviously benefit heterogeneous vertex representations and
cooperative policy learning, it could, on the other hand, increase the training
difficulty of MARL and demand more intense and direct reward signals compared
to the original global reward. To address these challenges, we propose a new
cooperative learning framework with pre-trained heterogeneous observation
representations. Particularly, we employ an encoder-decoder based graph
attention to learn the intricate interactions and heterogeneous representations
that can be more easily leveraged by MARL. Moreover, we design a pre-training
with local actor-critic algorithm to ease the difficulty in cooperative policy
learning. Extensive experiments over real-world scenarios demonstrate that our
new approach can significantly outperform existing MARL baselines as well as
operational research solutions that are widely-used in industry.","['Machine Learning', 'Artificial Intelligence']"
Learning to Paint With Model-based Deep Reinforcement Learning,"We show how to teach machines to paint like human painters, who can use a
small number of strokes to create fantastic paintings. By employing a neural
renderer in model-based Deep Reinforcement Learning (DRL), our agents learn to
determine the position and color of each stroke and make long-term plans to
decompose texture-rich images into strokes. Experiments demonstrate that
excellent visual effects can be achieved using hundreds of strokes. The
training process does not require the experience of human painters or stroke
tracking data. The code is available at
https://github.com/hzwer/ICCV2019-LearningToPaint.","['Computer Vision and Pattern Recognition', 'Artificial Intelligence']"
Convolutional CRFs for Semantic Segmentation,"For the challenging semantic image segmentation task the most efficient
models have traditionally combined the structured modelling capabilities of
Conditional Random Fields (CRFs) with the feature extraction power of CNNs. In
more recent works however, CRF post-processing has fallen out of favour. We
argue that this is mainly due to the slow training and inference speeds of
CRFs, as well as the difficulty of learning the internal CRF parameters. To
overcome both issues we propose to add the assumption of conditional
independence to the framework of fully-connected CRFs. This allows us to
reformulate the inference in terms of convolutions, which can be implemented
highly efficiently on GPUs. Doing so speeds up inference and training by a
factor of more then 100. All parameters of the convolutional CRFs can easily be
optimized using backpropagation. To facilitating further CRF research we make
our implementation publicly available. Please visit:
https://github.com/MarvinTeichmann/ConvCRF",['Computer Vision and Pattern Recognition']
DeePM: A Deep Part-Based Model for Object Detection and Semantic Part Localization,"In this paper, we propose a deep part-based model (DeePM) for symbiotic
object detection and semantic part localization. For this purpose, we annotate
semantic parts for all 20 object categories on the PASCAL VOC 2012 dataset,
which provides information on object pose, occlusion, viewpoint and
functionality. DeePM is a latent graphical model based on the state-of-the-art
R-CNN framework, which learns an explicit representation of the object-part
configuration with flexible type sharing (e.g., a sideview horse head can be
shared by a fully-visible sideview horse and a highly truncated sideview horse
with head and neck only). For comparison, we also present an end-to-end
Object-Part (OP) R-CNN which learns an implicit feature representation for
jointly mapping an image ROI to the object and part bounding boxes. We evaluate
the proposed methods for both the object and part detection performance on
PASCAL VOC 2012, and show that DeePM consistently outperforms OP R-CNN in
detecting objects and parts. In addition, it obtains superior performance to
Fast and Faster R-CNNs in object detection.",['Computer Vision and Pattern Recognition']
Resource Constrained Neural Network Architecture Search: Will a Submodularity Assumption Help?,"The design of neural network architectures is frequently either based on
human expertise using trial/error and empirical feedback or tackled via large
scale reinforcement learning strategies performed over distinct discrete
architecture choices. In the latter case, the optimization is often
non-differentiable and also not very amenable to derivative-free optimization
methods. Most methods in use today require sizable computational resources. And
if we want networks that additionally satisfy resource constraints, the above
challenges are exacerbated because the search must now balance accuracy with
certain budget constraints on resources. We formulate this problem as the
optimization of a set function -- we find that the empirical behavior of this
set function often (but not always) satisfies marginal gain and monotonicity
principles -- properties central to the idea of submodularity. Based on this
observation, we adapt algorithms within discrete optimization to obtain
heuristic schemes for neural network architecture search, where we have
resource constraints on the architecture. This simple scheme when applied on
CIFAR-100 and ImageNet, identifies resource-constrained architectures with
quantifiably better performance than current state-of-the-art models designed
for mobile devices. Specifically, we find high-performing architectures with
fewer parameters and computations by a search method that is much faster.",['Computer Vision and Pattern Recognition']
Improvements to context based self-supervised learning,"We develop a set of methods to improve on the results of self-supervised
learning using context. We start with a baseline of patch based arrangement
context learning and go from there. Our methods address some overt problems
such as chromatic aberration as well as other potential problems such as
spatial skew and mid-level feature neglect. We prevent problems with testing
generalization on common self-supervised benchmark tests by using different
datasets during our development. The results of our methods combined yield top
scores on all standard self-supervised benchmarks, including classification and
detection on PASCAL VOC 2007, segmentation on PASCAL VOC 2012, and ""linear
tests"" on the ImageNet and CSAIL Places datasets. We obtain an improvement over
our baseline method of between 4.0 to 7.1 percentage points on transfer
learning classification tests. We also show results on different standard
network architectures to demonstrate generalization as well as portability. All
data, models and programs are available at:
https://gdo-datasci.llnl.gov/selfsupervised/.","['Computer Vision and Pattern Recognition', 'Machine Learning', 'Neural and Evolutionary Computing']"
Sketch-QNet: A Quadruplet ConvNet for Color Sketch-based Image Retrieval,"Architectures based on siamese networks with triplet loss have shown
outstanding performance on the image-based similarity search problem. This
approach attempts to discriminate between positive (relevant) and negative
(irrelevant) items. However, it undergoes a critical weakness. Given a query,
it cannot discriminate weakly relevant items, for instance, items of the same
type but different color or texture as the given query, which could be a
serious limitation for many real-world search applications. Therefore, in this
work, we present a quadruplet-based architecture that overcomes the
aforementioned weakness. Moreover, we present an instance of this quadruplet
network, which we call Sketch-QNet, to deal with the color sketch-based image
retrieval (CSBIR) problem, achieving new state-of-the-art results.",['Computer Vision and Pattern Recognition']
PDO-eConvs: Partial Differential Operator Based Equivariant Convolutions,"Recent research has shown that incorporating equivariance into neural network
architectures is very helpful, and there have been some works investigating the
equivariance of networks under group actions. However, as digital images and
feature maps are on the discrete meshgrid, corresponding
equivariance-preserving transformation groups are very limited. In this work,
we deal with this issue from the connection between convolutions and partial
differential operators (PDOs). In theory, assuming inputs to be smooth, we
transform PDOs and propose a system which is equivariant to a much more general
continuous group, the $n$-dimension Euclidean group. In implementation, we
discretize the system using the numerical schemes of PDOs, deriving
approximately equivariant convolutions (PDO-eConvs). Theoretically, the
approximation error of PDO-eConvs is of the quadratic order. It is the first
time that the error analysis is provided when the equivariance is approximate.
Extensive experiments on rotated MNIST and natural image classification show
that PDO-eConvs perform competitively yet use parameters much more efficiently.
Particularly, compared with Wide ResNets, our methods result in better results
using only 12.6% parameters.","['Computer Vision and Pattern Recognition', 'Machine Learning']"
Graph Based Over-Segmentation Methods for 3D Point Clouds,"Over-segmentation, or super-pixel generation, is a common preliminary stage
for many computer vision applications. New acquisition technologies enable the
capturing of 3D point clouds that contain color and geometrical information.
This 3D information introduces a new conceptual change that can be utilized to
improve the results of over-segmentation, which uses mainly color information,
and to generate clusters of points we call super-points. We consider a variety
of possible 3D extensions of the Local Variation (LV) graph based
over-segmentation algorithms, and compare them thoroughly. We consider
different alternatives for constructing the connectivity graph, for assigning
the edge weights, and for defining the merge criterion, which must now account
for the geometric information and not only color. Following this evaluation, we
derive a new generic algorithm for over-segmentation of 3D point clouds. We
call this new algorithm Point Cloud Local Variation (PCLV). The advantages of
the new over-segmentation algorithm are demonstrated on both outdoor and
cluttered indoor scenes. Performance analysis of the proposed approach compared
to state-of-the-art 2D and 3D over-segmentation algorithms shows significant
improvement according to the common performance measures.",['Computer Vision and Pattern Recognition']
Stabilizing Generative Adversarial Networks: A Survey,"Generative Adversarial Networks (GANs) are a type of generative model which
have received much attention due to their ability to model complex real-world
data. Despite their recent successes, the process of training GANs remains
challenging, suffering from instability problems such as non-convergence,
vanishing or exploding gradients, and mode collapse. In recent years, a diverse
set of approaches have been proposed which focus on stabilizing the GAN
training procedure. The purpose of this survey is to provide a comprehensive
overview of the GAN training stabilization methods which can be found in the
literature. We discuss the advantages and disadvantages of each approach, offer
a comparative summary, and conclude with a discussion of open problems.",['Machine Learning']
Deep Spatial Transformation for Pose-Guided Person Image Generation and Animation,"Pose-guided person image generation and animation aim to transform a source
person image to target poses. These tasks require spatial manipulation of
source data. However, Convolutional Neural Networks are limited by the lack of
ability to spatially transform the inputs. In this paper, we propose a
differentiable global-flow local-attention framework to reassemble the inputs
at the feature level. This framework first estimates global flow fields between
sources and targets. Then, corresponding local source feature patches are
sampled with content-aware local attention coefficients. We show that our
framework can spatially transform the inputs in an efficient manner. Meanwhile,
we further model the temporal consistency for the person image animation task
to generate coherent videos. The experiment results of both image generation
and animation tasks demonstrate the superiority of our model. Besides,
additional results of novel view synthesis and face image animation show that
our model is applicable to other tasks requiring spatial transformation. The
source code of our project is available at
https://github.com/RenYurui/Global-Flow-Local-Attention.",['Computer Vision and Pattern Recognition']
Primitive Representation Learning for Scene Text Recognition,"Scene text recognition is a challenging task due to diverse variations of
text instances in natural scene images. Conventional methods based on
CNN-RNN-CTC or encoder-decoder with attention mechanism may not fully
investigate stable and efficient feature representations for multi-oriented
scene texts. In this paper, we propose a primitive representation learning
method that aims to exploit intrinsic representations of scene text images. We
model elements in feature maps as the nodes of an undirected graph. A pooling
aggregator and a weighted aggregator are proposed to learn primitive
representations, which are transformed into high-level visual text
representations by graph convolutional networks. A Primitive REpresentation
learning Network (PREN) is constructed to use the visual text representations
for parallel decoding. Furthermore, by integrating visual text representations
into an encoder-decoder model with the 2D attention mechanism, we propose a
framework called PREN2D to alleviate the misalignment problem in
attention-based methods. Experimental results on both English and Chinese scene
text recognition tasks demonstrate that PREN keeps a balance between accuracy
and efficiency, while PREN2D achieves state-of-the-art performance.",['Computer Vision and Pattern Recognition']
TCDesc: Learning Topology Consistent Descriptors for Image Matching,"The constraint of neighborhood consistency or local consistency is widely
used for robust image matching. In this paper, we focus on learning
neighborhood topology consistent descriptors (TCDesc), while former works of
learning descriptors, such as HardNet and DSM, only consider point-to-point
Euclidean distance among descriptors and totally neglect neighborhood
information of descriptors. To learn topology consistent descriptors, first we
propose the linear combination weights to depict the topological relationship
between center descriptor and its kNN descriptors, where the difference between
center descriptor and the linear combination of its kNN descriptors is
minimized. Then we propose the global mapping function which maps the local
linear combination weights to the global topology vector and define the
topology distance of matching descriptors as l1 distance between their topology
vectors. Last we employ adaptive weighting strategy to jointly minimize
topology distance and Euclidean distance, which automatically adjust the weight
or attention of two distances in triplet loss. Our method has the following two
advantages: (1) We are the first to consider neighborhood information of
descriptors, while former works mainly focus on neighborhood consistency of
feature points; (2) Our method can be applied in any former work of learning
descriptors by triplet loss. Experimental results verify the generalization of
our method: We can improve the performances of both HardNet and DSM on several
benchmarks.",['Computer Vision and Pattern Recognition']
3D_DEN: Open-ended 3D Object Recognition using Dynamically Expandable Networks,"Service robots, in general, have to work independently and adapt to the
dynamic changes happening in the environment in real-time. One important aspect
in such scenarios is to continually learn to recognize newer object categories
when they become available. This combines two main research problems namely
continual learning and 3D object recognition. Most of the existing research
approaches include the use of deep Convolutional Neural Networks (CNNs)
focusing on image datasets. A modified approach might be needed for continually
learning 3D object categories. A major concern in using CNNs is the problem of
catastrophic forgetting when a model tries to learn a new task. Despite various
proposed solutions to mitigate this problem, there still exist some downsides
of such solutions, e.g., computational complexity, especially when learning
substantial number of tasks. These downsides can pose major problems in robotic
scenarios where real-time response plays an essential role. Towards addressing
this challenge, we propose a new deep transfer learning approach based on a
dynamic architectural method to make robots capable of open-ended learning
about new 3D object categories. Furthermore, we make sure that the mentioned
downsides are minimized to a great extent. Experimental results showed that the
proposed model outperformed state-of-the-art approaches with regards to
accuracy and also substantially minimizes computational overhead.","['Computer Vision and Pattern Recognition', 'Machine Learning', 'Robotics']"
Graph Contrastive Learning with Augmentations,"Generalizable, transferrable, and robust representation learning on
graph-structured data remains a challenge for current graph neural networks
(GNNs). Unlike what has been developed for convolutional neural networks (CNNs)
for image data, self-supervised learning and pre-training are less explored for
GNNs. In this paper, we propose a graph contrastive learning (GraphCL)
framework for learning unsupervised representations of graph data. We first
design four types of graph augmentations to incorporate various priors. We then
systematically study the impact of various combinations of graph augmentations
on multiple datasets, in four different settings: semi-supervised,
unsupervised, and transfer learning as well as adversarial attacks. The results
show that, even without tuning augmentation extents nor using sophisticated GNN
architectures, our GraphCL framework can produce graph representations of
similar or better generalizability, transferrability, and robustness compared
to state-of-the-art methods. We also investigate the impact of parameterized
graph augmentation extents and patterns, and observe further performance gains
in preliminary experiments. Our codes are available at
https://github.com/Shen-Lab/GraphCL.","['Machine Learning', 'Artificial Intelligence']"
"""Train one, Classify one, Teach one"" -- Cross-surgery transfer learning for surgical step recognition","Prior work demonstrated the ability of machine learning to automatically
recognize surgical workflow steps from videos. However, these studies focused
on only a single type of procedure. In this work, we analyze, for the first
time, surgical step recognition on four different laparoscopic surgeries:
Cholecystectomy, Right Hemicolectomy, Sleeve Gastrectomy, and Appendectomy.
Inspired by the traditional apprenticeship model, in which surgical training is
based on the Halstedian method, we paraphrase the ""see one, do one, teach one""
approach for the surgical intelligence domain as ""train one, classify one,
teach one"". In machine learning, this approach is often referred to as transfer
learning. To analyze the impact of transfer learning across different
laparoscopic procedures, we explore various time-series architectures and
examine their performance on each target domain. We introduce a new
architecture, the Time-Series Adaptation Network (TSAN), an architecture
optimized for transfer learning of surgical step recognition, and we show how
TSAN can be pre-trained using self-supervised learning on a Sequence Sorting
task. Such pre-training enables TSAN to learn workflow steps of a new
laparoscopic procedure type from only a small number of labeled samples from
the target procedure. Our proposed architecture leads to better performance
compared to other possible architectures, reaching over 90% accuracy when
transferring from laparoscopic Cholecystectomy to the other three procedure
types.","['Computer Vision and Pattern Recognition', 'Artificial Intelligence']"
LiteSeg: A Novel Lightweight ConvNet for Semantic Segmentation,"Semantic image segmentation plays a pivotal role in many vision applications
including autonomous driving and medical image analysis. Most of the former
approaches move towards enhancing the performance in terms of accuracy with a
little awareness of computational efficiency. In this paper, we introduce
LiteSeg, a lightweight architecture for semantic image segmentation. In this
work, we explore a new deeper version of Atrous Spatial Pyramid Pooling module
(ASPP) and apply short and long residual connections, and depthwise separable
convolution, resulting in a faster and efficient model. LiteSeg architecture is
introduced and tested with multiple backbone networks as Darknet19, MobileNet,
and ShuffleNet to provide multiple trade-offs between accuracy and
computational cost. The proposed model LiteSeg, with MobileNetV2 as a backbone
network, achieves an accuracy of 67.81% mean intersection over union at 161
frames per second with $640 \times 360$ resolution on the Cityscapes dataset.",['Computer Vision and Pattern Recognition']
Visual Domain Adaptation for Monocular Depth Estimation on Resource-Constrained Hardware,"Real-world perception systems in many cases build on hardware with limited
resources to adhere to cost and power limitations of their carrying system.
Deploying deep neural networks on resource-constrained hardware became possible
with model compression techniques, as well as efficient and hardware-aware
architecture design. However, model adaptation is additionally required due to
the diverse operation environments. In this work, we address the problem of
training deep neural networks on resource-constrained hardware in the context
of visual domain adaptation. We select the task of monocular depth estimation
where our goal is to transform a pre-trained model to the target's domain data.
While the source domain includes labels, we assume an unlabelled target domain,
as it happens in real-world applications. Then, we present an adversarial
learning approach that is adapted for training on the device with limited
resources. Since visual domain adaptation, i.e. neural network training, has
not been previously explored for resource-constrained hardware, we present the
first feasibility study for image-based depth estimation. Our experiments show
that visual domain adaptation is relevant only for efficient network
architectures and training sets at the order of a few hundred samples. Models
and code are publicly available.","['Computer Vision and Pattern Recognition', 'Machine Learning']"
Monocular 3D Object Detection with Sequential Feature Association and Depth Hint Augmentation,"Monocular 3D object detection is a promising research topic for the
intelligent perception systems of autonomous driving. In this work, a
single-stage keypoint-based network, named as FADNet, is presented to address
the task of monocular 3D object detection. In contrast to previous
keypoint-based methods which adopt identical layouts for output branches, we
propose to divide the output modalities into different groups according to the
estimating difficulty, whereby different groups are treated differently by
sequential feature association. Another contribution of this work is the
strategy of depth hint augmentation. To provide characterized depth patterns as
hints for depth estimation, a dedicated depth hint module is designed to
generate row-wise features named as depth hints, which are explicitly
supervised in a bin-wise manner. In the training stage, the regression outputs
are uniformly encoded to enable loss disentanglement. The 2D loss term is
further adapted to be depth-aware for improving the detection accuracy of small
objects. The contributions of this work are validated by conducting experiments
and ablation study on the KITTI benchmark. Without utilizing depth priors, post
optimization, or other refinement modules, our network performs competitively
against state-of-the-art methods while maintaining a decent running speed.",['Computer Vision and Pattern Recognition']
Autonomous Learning of Features for Control: Experiments with Embodied and Situated Agents,"As discussed in previous studies, the efficacy of evolutionary or
reinforcement learning algorithms for continuous control optimization can be
enhanced by including a neural module dedicated to feature extraction trained
through self-supervised methods. In this paper we report additional experiments
supporting this hypothesis and we demonstrate how the advantage provided by
feature extraction is not limited to problems that benefit from dimensionality
reduction or that involve agents operating on the basis of allocentric
perception. We introduce a method that permits to continue the training of the
feature-extraction module during the training of the policy network and that
increases the efficacy of feature extraction. Finally, we compare alternative
feature-extracting methods and we show that sequence-to-sequence learning
yields better results than the methods considered in previous studies.","['Machine Learning', 'Artificial Intelligence']"
To Boost or Not to Boost? On the Limits of Boosted Trees for Object Detection,"We aim to study the modeling limitations of the commonly employed boosted
decision trees classifier. Inspired by the success of large, data-hungry visual
recognition models (e.g. deep convolutional neural networks), this paper
focuses on the relationship between modeling capacity of the weak learners,
dataset size, and dataset properties. A set of novel experiments on the Caltech
Pedestrian Detection benchmark results in the best known performance among
non-CNN techniques while operating at fast run-time speed. Furthermore, the
performance is on par with deep architectures (9.71% log-average miss rate),
while using only HOG+LUV channels as features. The conclusions from this study
are shown to generalize over different object detection domains as demonstrated
on the FDDB face detection benchmark (93.37% accuracy). Despite the impressive
performance, this study reveals the limited modeling capacity of the common
boosted trees model, motivating a need for architectural changes in order to
compete with multi-level and very deep architectures.",['Computer Vision and Pattern Recognition']
Syntax-Directed Variational Autoencoder for Structured Data,"Deep generative models have been enjoying success in modeling continuous
data. However it remains challenging to capture the representations for
discrete structures with formal grammars and semantics, e.g., computer programs
and molecular structures. How to generate both syntactically and semantically
correct data still remains largely an open problem. Inspired by the theory of
compiler where the syntax and semantics check is done via syntax-directed
translation (SDT), we propose a novel syntax-directed variational autoencoder
(SD-VAE) by introducing stochastic lazy attributes. This approach converts the
offline SDT check into on-the-fly generated guidance for constraining the
decoder. Comparing to the state-of-the-art methods, our approach enforces
constraints on the output space so that the output will be not only
syntactically valid, but also semantically reasonable. We evaluate the proposed
model with applications in programming language and molecules, including
reconstruction and program/molecule optimization. The results demonstrate the
effectiveness in incorporating syntactic and semantic constraints in discrete
generative models, which is significantly better than current state-of-the-art
approaches.","['Machine Learning', 'Computation and Language']"
A Tiered Move-making Algorithm for General Non-submodular Pairwise Energies,"A large number of problems in computer vision can be modelled as energy
minimization problems in a Markov Random Field (MRF) or Conditional Random
Field (CRF) framework. Graph-cuts based $\alpha$-expansion is a standard
move-making method to minimize the energy functions with sub-modular pairwise
terms. However, certain problems require more complex pairwise terms where the
$\alpha$-expansion method is generally not applicable.
  In this paper, we propose an iterative {\em tiered move making algorithm}
which is able to handle general pairwise terms. Each move to the next
configuration is based on the current labeling and an optimal tiered move,
where each tiered move requires one application of the dynamic programming
based tiered labeling method introduced in Felzenszwalb et. al.
\cite{tiered_cvpr_felzenszwalbV10}. The algorithm converges to a local minimum
for any general pairwise potential, and we give a theoretical analysis of the
properties of the algorithm, characterizing the situations in which we can
expect good performance. We first evaluate our method on an object-class
segmentation problem using the Pascal VOC-11 segmentation dataset where we
learn general pairwise terms. Further we evaluate the algorithm on many other
benchmark labeling problems such as stereo, image segmentation, image stitching
and image denoising. Our method consistently gets better accuracy and energy
values than alpha-expansion, loopy belief propagation (LBP), quadratic
pseudo-boolean optimization (QPBO), and is competitive with TRWS.",['Computer Vision and Pattern Recognition']
Deep Knowledge Tracing with Convolutions,"Knowledge tracing (KT) has recently been an active research area of
computational pedagogy. The task is to model students mastery level of
knowledge based on their responses to the questions in the past, as well as
predict the probabilities that they correctly answer subsequent questions in
the future. A good KT model can not only make students timely aware of their
knowledge states, but also help teachers develop better personalized teaching
plans for students. KT tasks were historically solved using statistical
modeling methods such as Bayesian inference and factor analysis, but recent
advances in deep learning have led to the successive proposals that leverage
deep neural networks, including long short-term memory networks,
memory-augmented networks and self-attention networks. While those deep models
demonstrate superior performance over the traditional approaches, they all
neglect more or less the impact on knowledge states of the most recent
questions answered by students. The forgetting curve theory states that human
memory retention declines over time, therefore knowledge states should be
mostly affected by the recent questions. Based on this observation, we propose
a Convolutional Knowledge Tracing (CKT) model in this paper. In addition to
modeling the long-term effect of the entire question-answer sequence, CKT also
strengthens the short-term effect of recent questions using 3D convolutions,
thereby effectively modeling the forgetting curve in the learning process.
Extensive experiments show that CKT achieves the new state-of-the-art in
predicting students performance compared with existing models. Using CKT, we
gain 1.55 and 2.03 improvements in terms of AUC over DKT and DKVMN
respectively, on the ASSISTments2009 dataset. And on the ASSISTments2015
dataset, the corresponding improvements are 1.01 and 1.96 respectively.","['Machine Learning', 'Artificial Intelligence', 'Computers and Society']"
Characters as Graphs: Recognizing Online Handwritten Chinese Characters via Spatial Graph Convolutional Network,"Chinese is one of the most widely used languages in the world, yet online
handwritten Chinese character recognition (OLHCCR) remains challenging. To
recognize Chinese characters, one popular choice is to adopt the 2D
convolutional neural network (2D-CNN) on the extracted feature images, and
another one is to employ the recurrent neural network (RNN) or 1D-CNN on the
time-series features. Instead of viewing characters as either static images or
temporal trajectories, here we propose to represent characters as geometric
graphs, retaining both spatial structures and temporal orders. Accordingly, we
propose a novel spatial graph convolution network (SGCN) to effectively
classify those character graphs for the first time. Specifically, our SGCN
incorporates the local neighbourhood information via spatial graph convolutions
and further learns the global shape properties with a hierarchical residual
structure. Experiments on IAHCC-UCAS2016, ICDAR-2013, and UNIPEN datasets
demonstrate that the SGCN can achieve comparable recognition performance with
the state-of-the-art methods for character recognition.",['Computer Vision and Pattern Recognition']
Learning from Counting: Leveraging Temporal Classification for Weakly Supervised Object Localization and Detection,"This paper reports a new solution of leveraging temporal classification to
support weakly supervised object detection (WSOD). Specifically, we introduce
raster scan-order techniques to serialize 2D images into 1D sequence data, and
then leverage a combined LSTM (Long, Short-Term Memory) and CTC (Connectionist
Temporal Classification) network to achieve object localization based on a
total count (of interested objects). We term our proposed network LSTM-CCTC
(Count-based CTC). This ""learning from counting"" strategy differs from existing
WSOD methods in that our approach automatically identifies critical points on
or near a target object. This strategy significantly reduces the need of
generating a large number of candidate proposals for object localization.
Experiments show that our method yields state-of-the-art performance based on
an evaluation on PASCAL VOC datasets.",['Computer Vision and Pattern Recognition']
On the spatial attention in Spatio-Temporal Graph Convolutional Networks for skeleton-based human action recognition,"Graph convolutional networks (GCNs) achieved promising performance in
skeleton-based human action recognition by modeling a sequence of skeletons as
a spatio-temporal graph. Most of the recently proposed GCN-based methods
improve the performance by learning the graph structure at each layer of the
network using a spatial attention applied on a predefined graph Adjacency
matrix that is optimized jointly with model's parameters in an end-to-end
manner. In this paper, we analyze the spatial attention used in spatio-temporal
GCN layers and propose a symmetric spatial attention for better reflecting the
symmetric property of the relative positions of the human body joints when
executing actions. We also highlight the connection of spatio-temporal GCN
layers employing additive spatial attention to bilinear layers, and we propose
the spatio-temporal bilinear network (ST-BLN) which does not require the use of
predefined Adjacency matrices and allows for more flexible design of the model.
Experimental results show that the three models lead to effectively the same
performance. Moreover, by exploiting the flexibility provided by the proposed
ST-BLN, one can increase the efficiency of the model.",['Computer Vision and Pattern Recognition']
Efficient piecewise training of deep structured models for semantic segmentation,"Recent advances in semantic image segmentation have mostly been achieved by
training deep convolutional neural networks (CNNs). We show how to improve
semantic segmentation through the use of contextual information; specifically,
we explore `patch-patch' context between image regions, and `patch-background'
context. For learning from the patch-patch context, we formulate Conditional
Random Fields (CRFs) with CNN-based pairwise potential functions to capture
semantic correlations between neighboring patches. Efficient piecewise training
of the proposed deep structured model is then applied to avoid repeated
expensive CRF inference for back propagation. For capturing the
patch-background context, we show that a network design with traditional
multi-scale image input and sliding pyramid pooling is effective for improving
performance. Our experimental results set new state-of-the-art performance on a
number of popular semantic segmentation datasets, including NYUDv2, PASCAL VOC
2012, PASCAL-Context, and SIFT-flow. In particular, we achieve an
intersection-over-union score of 78.0 on the challenging PASCAL VOC 2012
dataset.",['Computer Vision and Pattern Recognition']
Tracking system of Mine Patrol Robot for Low Illumination Environment,"Computer vision has received a significant attention in recent years, which
is one of the important parts for robots to apperceive external environment.
Discriminative Correlation Filter (DCF) based trackers gained more popularity
due to their efficiency, however, tracking in low-illumination environments is
a challenging problem, not yet successfully addressed in the literature. In
this work, we tackle the problems by introducing Low-Illumination Long-term
Correlation Tracker (LLCT). First, fused features only including HOG and Color
Names are employed to boost the tracking efficiency. Second, we used the
standard PCA to reduction scheme in the translation and scale estimation phase
for accelerating. Third, we learned a long-term correlation filter to keep the
long-term memory ability. Finally, update memory templates with interval
updates, then re-match existing and initial templates every few frames to
maintain template accuracy. The extensive experiments on popular Object
Tracking Benchmark OTB-50 datasets have demonstrated that the proposed tracker
outperforms the state-of-the-art trackers significantly achieves a high
real-time (33FPS) performance. In addition, the proposed approach can be
integrated easily in robot system and the running speed performed well. The
experimental results show that the novel tracker performance in
low-illumination environment is better than that of general trackers.",['Computer Vision and Pattern Recognition']
Reinforcement Learning for Learning Rate Control,"Stochastic gradient descent (SGD), which updates the model parameters by
adding a local gradient times a learning rate at each step, is widely used in
model training of machine learning algorithms such as neural networks. It is
observed that the models trained by SGD are sensitive to learning rates and
good learning rates are problem specific. We propose an algorithm to
automatically learn learning rates using neural network based actor-critic
methods from deep reinforcement learning (RL).In particular, we train a policy
network called actor to decide the learning rate at each step during training,
and a value network called critic to give feedback about quality of the
decision (e.g., the goodness of the learning rate outputted by the actor) that
the actor made. The introduction of auxiliary actor and critic networks helps
the main network achieve better performance. Experiments on different datasets
and network architectures show that our approach leads to better convergence of
SGD than human-designed competitors.",['Machine Learning']
Conditional MoCoGAN for Zero-Shot Video Generation,"We propose a conditional generative adversarial network (GAN) model for
zero-shot video generation. In this study, we have explored zero-shot
conditional generation setting. In other words, we generate unseen videos from
training samples with missing classes. The task is an extension of conditional
data generation. The key idea is to learn disentangled representations in the
latent space of a GAN. To realize this objective, we base our model on the
motion and content decomposed GAN and conditional GAN for image generation. We
build the model to find better-disentangled representations and to generate
good-quality videos. We demonstrate the effectiveness of our proposed model
through experiments on the Weizmann action database and the MUG facial
expression database.",['Computer Vision and Pattern Recognition']
PhishGAN: Data Augmentation and Identification of Homoglpyh Attacks,"Homoglyph attacks are a common technique used by hackers to conduct phishing.
Domain names or links that are visually similar to actual ones are created via
punycode to obfuscate the attack, making the victim more susceptible to
phishing. For example, victims may mistake ""|inkedin.com"" for ""linkedin.com""
and in the process, divulge personal details to the fake website. Current State
of The Art (SOTA) typically make use of string comparison algorithms (e.g.
Levenshtein Distance), which are computationally heavy. One reason for this is
the lack of publicly available datasets thus hindering the training of more
advanced Machine Learning (ML) models. Furthermore, no one font is able to
render all types of punycode correctly, posing a significant challenge to the
creation of a dataset that is unbiased toward any particular font. This coupled
with the vast number of internet domains pose a challenge in creating a dataset
that can capture all possible variations. Here, we show how a conditional
Generative Adversarial Network (GAN), PhishGAN, can be used to generate images
of hieroglyphs, conditioned on non-homoglpyh input text images. Practical
changes to current SOTA were required to facilitate the generation of more
varied homoglyph text-based images. We also demonstrate a workflow of how
PhishGAN together with a Homoglyph Identifier (HI) model can be used to
identify the domain the homoglyph was trying to imitate. Furthermore, we
demonstrate how PhishGAN's ability to generate datasets on the fly facilitate
the quick adaptation of cybersecurity systems to detect new threats as they
emerge.","['Computer Vision and Pattern Recognition', 'Cryptography and Security', 'Machine Learning']"
